startid,endid,routedist
E00004251,289,0.242875
E00005034,359,0.251079
E00015430,375,0.291476
E00012764,262,0.189106
E00015390,376,0.154536
E00013837,140,0.251842
E00174829,227,0.179209
E00004254,290,0.157519
E00005036,358,0.14829599999999998
E00000001,184,0.268533
E00016027,370,0.201997
E00010797,115,0.287766
E00004211,285,0.19080000000000003
E00016593,122,0.232713
E00006481,64,0.20106
E00012844,118,0.151463
E00006509,71,0.263096
E00017140,405,0.341776
E00020839,277,0.17753899999999997
E00023933,28,0.175172
E00005912,343,0.155635
E00006488,45,0.16283799999999998
E00004248,290,0.170428
E00019961,329,0.19808199999999998
E00174808,134,0.156682
E00021731,237,0.225075
E00008706,43,0.163133
E00016776,392,0.152841
E00019887,334,0.149281
E00019726,331,0.163746
E00176267,230,0.174436
E00009625,110,0.22020099999999998
E00013508,145,0.149541
E00006875,57,0.17659
E00013535,142,0.212922
E00015490,382,0.150255
E00174803,132,0.23327099999999998
E00013579,137,0.233563
E00017191,407,0.175088
E00168184,263,0.284784
E00004246,289,0.181021
E00006878,59,0.148422
E00015413,376,0.21973900000000002
E00006509,73,0.31389999999999996
E00006477,66,0.23679599999999998
E00021166,220,0.197628
E00020408,316,0.19409700000000002
E00022363,180,0.378075
E00004871,357,0.235278
E00008180,37,0.157179
E00015754,217,0.289105
E00013316,265,0.16213399999999997
E00021159,237,0.23947900000000003
E00166027,267,0.341548
E00013312,264,0.384592
E00008297,384,0.215385
E00008772,43,0.213722
E00015411,376,0.221933
E00012835,120,0.20954699999999998
E00006509,75,0.274472
E00013531,140,0.227146
E00174925,360,0.150318
E00006213,56,0.173564
E00000019,185,0.342326
E00168193,263,0.227076
E00019901,317,0.21428999999999998
E00004879,357,0.196266
E00021714,241,0.191554
E00016061,371,0.177284
E00004386,284,0.19094
E00015384,379,0.242406
E00020126,151,0.198921
E00004709,297,0.166304
E00013424,190,0.42302100000000004
E00015205,367,0.308573
E00005695,351,0.149455
E00023724,0,0.194556
E00006515,71,0.18840700000000002
E00023960,30,0.47640899999999997
E00004709,296,0.227124
E00018259,166,0.22866399999999998
E00021710,239,0.192917
E00008875,86,0.5584210000000001
E00020138,327,0.320386
E00016026,369,0.33240499999999995
E00021784,171,0.194823
E00006873,62,0.191643
E00004702,295,0.21179499999999998
E00015202,325,0.21406999999999998
E00019901,316,0.169647
E00022187,399,0.249476
E00008181,37,0.234554
E00019929,329,0.236111
E00023929,340,0.19006
E00023960,303,0.43087000000000003
E00015428,373,0.16417199999999998
E00008727,311,0.361262
E00007430,108,0.202997
E00165807,324,0.208714
E00008179,38,0.21978399999999998
E00012808,259,0.313517
E00016856,391,0.154031
E00008727,146,0.255378
E00008824,88,0.14178200000000002
E00022348,400,0.19774799999999998
E00022085,182,0.151697
E00175192,21,0.221244
E00020841,277,0.341571
E00013431,138,0.231244
E00015412,376,0.18933000000000003
E00174702,308,0.23169700000000001
E00015668,154,0.25535
E00023506,3,0.231014
